date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
5/2/2007 11:00,melbourne (australia),,au,cylinder,600,10 minutes,we were stargazing when a cigar shaped craft appeared.,8/7/2007,-37.813938,144.963425,5,2,2007,11:00
5/2/2009 20:45,tracadie-sheila (canada),nb,ca,round,45,35 to 45 sec,Orange ball with black top ?,5/12/2009,47.512071,-64.912087,5,2,2009,20:45
5/2/2009 21:20,coningsby (uk/england),,gb,round,180,3 mins,Ball of light travelling in straight line over Lincolnshire in the clear night sky,5/12/2009,53.116667,-0.166667,5,2,2009,21:20
5/2/2009 22:30,iochwinnoch (uk/scotland),,gb,round,180,3 minutes,Glowing orange/red ball moving silently through night sky with three witnesses,5/12/2009,55.795808,-4.630246,5,2,2009,22:30
5/2/2009 22:35,birmingham (uk/england),,gb,round,360,6mins,U.F.O seen over Birmingham U.K. 2nd May 2009,5/12/2009,52.466667,-1.916667,5,2,2009,22:35
5/2/2009 23:59,hong kong (china),,cn,other/unspecified,900,15 min,Wierd halfmoon-like thing hovering above the apartment buildings. I wonder whether or not other people saw it.,5/12/2009,22.396428,114.109497,5,2,2009,23:59
5/2/2012 22:00,douglas (isle of man)(uk/england),,gb,flare,20,20 seconds,Bright round orange/amber glowing object travelling SW at approx 7000ft over Douglas&#44 Isle of Man.,12/2/2013,55.55,-3.85,5,2,2012,22:00
5/2/2012 22:00,tianjin (china),,cn,light,3600,1 hour,Craft seen emitting various light patterns over Tianjin&#44 China&#44 May 2nd&#44 2012,5/13/2012,39.084158,117.200983,5,2,2012,22:00
5/2/2013 22:00,thane (india),,in,other/unspecified,300,5 minutes,Sighting of a weird aircraft.,5/15/2013,19.218331,72.97809,5,2,2013,22:00
5/22/1998 21:30,lansvale (sydney) (nsw&#44 australia),,au,other/unspecified,3600,1 hour,As we watched the craft proceeded to play as a child playing hide and seek.It almost seemed to be trying to work out who we were.we wer,11/21/1998,-33.897564,150.953237,5,22,1998,21:30
5/22/1999 21:30,sherbrooke (canada),pq,ca,round,30,30 seconds,I think I saw a UFO on May 22th 21h30..,12/2/2000,45.4,-71.9,5,22,1999,21:30
5/22/2001 3:23,nis (yugoslavia),,rs,other/unspecified,1200,20 mimuta,Srebrn kurac u nebu,8/5/2001,43.3,21.9,5,22,2001,3:23
5/22/2003 22:20,ottawa (canada),on,ca,light,40,30-40 sec,Two lights shape and size of a star flying very high and very fast  SW toward NE side by side one of them changing course,5/27/2003,45.416667,-75.7,5,22,2003,22:20
